Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Rush Hour 2,2001,"Action, Comedy, Crime",90.0,347325802,6.6,224475,48.0,51,48
Trolls,2016,"Animation, Adventure, Comedy",92.0,347182886,6.4,83986,55.0,75,55
xXx: Return of Xander Cage,2017,"Action, Adventure, Thriller",107.0,346118277,5.2,93379,42.0,45,42
Pocahontas,1995,"Animation, Adventure, Drama",81.0,346079773,6.7,190917,58.0,54,58
How the Grinch Stole Christmas,2000,"Comedy, Family, Fantasy",104.0,345823032,6.3,265921,46.0,49,46
Star Trek Beyond,2016,"Action, Adventure, Sci-Fi",122.0,343471816,7.0,248749,68.0,86,68
Alvin and the Chipmunks: Chipwrecked,2011,"Animation, Adventure, Comedy",87.0,342695435,4.3,36524,24.0,12,24
Wanted,2008,"Action, Crime, Thriller",110.0,342463063,6.7,392961,64.0,71,64
The Flintstones,1994,"Comedy, Family, Fantasy",91.0,341631208,5.0,82527,38.0,21,38
A Quiet Place,2018,"Drama, Horror, Sci-Fi",90.0,340952971,7.5,535386,82.0,96,82
Enchanted,2007,"Animation, Adventure, Comedy",107.0,340487836,7.1,207618,75.0,93,75
Over the Hedge,2006,"Animation, Adventure, Comedy",83.0,339795890,6.7,178312,67.0,75,67
300: Rise of an Empire,2014,"Action, Drama",102.0,337580051,6.2,304638,48.0,45,48
Batman Forever,1995,"Action, Adventure",121.0,336567158,5.4,256029,51.0,39,51
Prince of Persia: The Sands of Time,2010,"Action, Adventure, Fantasy",116.0,336365676,6.6,292903,50.0,37,50
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",166.0,335802786,7.8,657326,70.0,71,70
Journey 2: The Mysterious Island,2012,"Action, Adventure, Comedy",94.0,335287748,5.7,106365,41.0,45,41
The Rock,1996,"Action, Adventure, Thriller",136.0,335062621,7.4,341910,58.0,68,58
The Great Wall,2016,"Action, Adventure, Fantasy",103.0,334933831,5.9,138443,42.0,35,42
Now You See Me 2,2016,"Action, Adventure, Comedy",129.0,334897606,6.4,295556,46.0,34,46
Never Say Die,2017,"Comedy, Fantasy, Sport",100.0,334530869,6.2,1646,,34,46
Fantastic Four,2005,"Action, Adventure, Fantasy",106.0,333535934,5.7,332991,40.0,28,40
Indiana Jones and the Temple of Doom,1984,"Action, Adventure",118.0,333107271,7.5,494155,57.0,83,57
Tomorrow Never Dies,1997,"Action, Adventure, Thriller",119.0,333011068,6.5,196837,52.0,57,52
Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",108.0,332500002,7.8,537718,57.0,63,57
The Good Dinosaur,2015,"Animation, Adventure, Comedy",93.0,332207671,6.7,118173,66.0,75,66
Free Guy,2021,"Action, Adventure, Comedy",115.0,331526598,7.1,374677,62.0,80,62
22 Jump Street,2014,"Action, Comedy, Crime",112.0,331333876,7.0,381769,71.0,84,71
Meet the Parents,2000,"Comedy, Romance",108.0,330444045,7.0,339665,73.0,84,73
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104.0,329803958,7.7,204648,83.0,97,83
Black Swan,2010,"Drama, Thriller",108.0,329398046,8.0,773003,79.0,85,79
The Perfect Storm,2000,"Action, Adventure, Drama",130.0,328718434,6.5,170135,59.0,85,59
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",130.0,328349387,7.4,349420,73.0,89,73
Crocodile Dundee,1986,"Action, Adventure, Comedy",97.0,328203506,6.6,108192,62.0,89,62
Crazy Alien,2019,"Comedy, Sci-Fi",116.0,327598891,5.8,1408,,89,62
Se7en,1995,"Crime, Drama, Mystery",127.0,327333559,8.6,1659582,65.0,82,65
The Devil Wears Prada,2006,"Comedy, Drama",109.0,326706115,6.9,426276,62.0,75,62
Taken 3,2014,"Action, Crime, Thriller",108.0,326479141,6.0,195385,26.0,13,26
The Hunchback of Notre Dame,1996,"Animation, Drama, Family",91.0,325338851,7.0,160523,74.0,71,74
A Christmas Carol,2009,"Animation, Adventure, Comedy",96.0,325286646,6.8,120920,55.0,53,55
The SpongeBob Movie: Sponge Out of Water,2015,"Animation, Adventure, Comedy",92.0,325186032,6.0,56823,62.0,81,62
Schindler's List,1993,"Biography, Drama, History",195.0,322161245,9.0,1362192,94.0,98,94
Megamind,2010,"Animation, Action, Comedy",95.0,321885765,7.3,268224,63.0,72,63
The Conjuring 2,2016,"Horror, Mystery, Thriller",134.0,321834351,7.3,274976,65.0,80,65
Green Book,2018,"Biography, Comedy, Drama",130.0,321752656,8.2,499588,69.0,77,69
Lethal Weapon 3,1992,"Action, Crime, Thriller",118.0,321731527,6.7,170870,40.0,58,40
Robin Hood,2010,"Action, Adventure, Drama",140.0,321669741,6.6,272506,53.0,43,53
Inglourious Basterds,2009,"Adventure, Drama, War",153.0,321457747,8.3,1460154,69.0,89,69
101 Dalmatians,1996,"Adventure, Comedy, Crime",103.0,320689294,5.7,112888,49.0,41,49
The Conjuring,2013,"Horror, Mystery, Thriller",112.0,320406242,7.5,515242,68.0,86,68
Fatal Attraction,1987,"Drama, Thriller",119.0,320145693,6.9,89063,67.0,75,67
Sonic the Hedgehog,2020,"Action, Adventure, Comedy",99.0,319715683,6.5,142507,47.0,63,47
The Last Airbender,2010,"Action, Adventure, Family",103.0,319713881,4.0,165546,20.0,5,20
The Proposal,2009,"Comedy, Drama, Romance",108.0,317375031,6.7,332934,48.0,45,48
The Polar Express,2004,"Animation, Adventure, Comedy",100.0,316897787,6.6,219390,61.0,56,61
A Beautiful Mind,2001,"Biography, Drama",135.0,316791257,8.2,938491,72.0,74,72
Beverly Hills Cop,1984,"Action, Comedy, Crime",105.0,316360478,7.3,188351,66.0,83,66
Air Force One,1997,"Action, Drama, Thriller",124.0,315156409,6.5,199638,61.0,78,61
Wonder,2017,"Drama, Family",113.0,315025930,7.9,167146,66.0,85,66
The Expendables 2,2012,"Action, Adventure, Thriller",103.0,314975955,6.6,310220,51.0,67,51
Chicken Little,2005,"Animation, Adventure, Comedy",81.0,314432837,5.7,94646,48.0,36,48
As Good as It Gets,1997,"Comedy, Drama, Romance",139.0,314178011,7.7,302834,67.0,86,67
Knives Out,2019,"Comedy, Crime, Drama",130.0,312897920,7.9,696205,82.0,97,82
Maze Runner: The Scorch Trials,2015,"Action, Adventure, Sci-Fi",131.0,312296056,6.3,255327,43.0,48,43
Resident Evil: The Final Chapter,2016,"Action, Horror, Sci-Fi",107.0,312242626,5.5,95889,49.0,37,49
The Lego Batman Movie,2017,"Animation, Action, Adventure",104.0,312136671,7.3,155047,75.0,90,75
Austin Powers: The Spy Who Shagged Me,1999,"Action, Adventure, Comedy",95.0,312016928,6.6,237202,59.0,53,59
Ocean's Thirteen,2007,"Crime, Thriller",122.0,311312624,6.9,351524,62.0,70,62
Little Fockers,2010,"Comedy, Romance",98.0,310650585,5.5,114460,27.0,9,27
Bolt,2008,"Animation, Adventure, Comedy",96.0,309979994,6.8,214861,67.0,90,67
Ransom,1996,"Action, Crime, Thriller",121.0,309492681,6.7,129861,60.0,74,60
Runaway Bride,1999,"Comedy, Romance",116.0,309460292,5.6,99965,39.0,46,39
The Blind Side,2009,"Biography, Drama, Sport",129.0,309231694,7.6,337559,53.0,66,53
The Ex-File 3: The Return of The Exes,2017,"Comedy, Romance",120.0,307592427,5.6,514,,66,53
The Fault in Our Stars,2014,"Drama, Romance",126.0,307166834,7.7,381370,69.0,81,69
The Pursuit of Happyness,2006,"Biography, Drama",117.0,307127625,8.0,518780,64.0,67,64
Rise of the Guardians,2012,"Animation, Action, Adventure",97.0,306941670,7.2,179753,58.0,74,58
Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",138.0,306889114,7.6,204977,90.0,94,90
Chicago,2002,"Comedy, Crime, Musical",113.0,306776732,7.2,233089,81.0,86,81
Annabelle: Creation,2017,"Horror, Mystery, Thriller",109.0,306515884,6.5,137783,62.0,70,62
Bridesmaids,2011,"Comedy, Romance",125.0,306442085,6.8,295386,75.0,89,75
Skyscraper,2018,"Action, Adventure, Thriller",102.0,304868961,5.8,124784,51.0,48,51
A Good Day to Die Hard,2013,"Action, Thriller",98.0,304654182,5.2,209404,28.0,15,28
Mulan,1998,"Animation, Adventure, Comedy",87.0,304320254,7.6,292824,71.0,86,71
Dangal,2016,"Action, Biography, Drama",161.0,303723636,8.3,193860,,88,71
Passengers,2016,"Drama, Romance, Sci-Fi",116.0,303144152,7.0,412200,41.0,30,41
Battleship,2012,"Action, Adventure, Sci-Fi",131.0,303025485,5.8,250015,41.0,33,41
Liar Liar,1997,"Comedy, Fantasy",86.0,302710615,6.9,312751,70.0,83,70
G.I. Joe: The Rise of Cobra,2009,"Action, Adventure, Sci-Fi",118.0,302469017,5.7,210148,32.0,33,32
Wrath of the Titans,2012,"Action, Adventure, Fantasy",99.0,301970083,5.7,190836,37.0,26,37
Fantastic Four: Rise of the Silver Surfer,2007,"Action, Adventure, Fantasy",92.0,301913131,5.6,268489,45.0,37,45
Hook,1991,"Adventure, Comedy, Family",142.0,300854823,6.8,258764,52.0,29,52
Superman,1978,"Action, Adventure, Sci-Fi",143.0,300478449,7.4,177627,81.0,93,81
Rocky IV,1985,"Drama, Sport",91.0,300473716,6.8,209344,40.0,37,40
Rambo: First Blood Part II,1985,"Action, Adventure, Thriller",96.0,300400432,6.5,171883,47.0,33,47
Resident Evil: Afterlife,2010,"Action, Horror, Sci-Fi",96.0,300228084,5.8,173689,37.0,21,37
Van Helsing,2004,"Action, Adventure, Fantasy",131.0,300157638,6.0,270184,35.0,21,35
Stuart Little,1999,"Adventure, Comedy, Family",84.0,300135367,6.0,138799,61.0,67,61
Beverly Hills Cop II,1987,"Action, Comedy, Crime",100.0,299965036,6.5,122386,48.0,46,48
Alice Through the Looking Glass,2016,"Adventure, Family, Fantasy",113.0,299820798,6.2,111598,34.0,29,34
My Best Friend's Wedding,1997,"Comedy, Drama, Romance",105.0,299288605,6.3,145574,50.0,74,50
Real Steel,2011,"Action, Drama, Sci-Fi",127.0,299268508,7.0,334371,56.0,60,56
Horton Hears a Who!,2008,"Animation, Adventure, Comedy",86.0,298572799,6.8,143045,71.0,80,71
Ocean's Eight,2018,"Action, Comedy, Crime",110.0,297795726,6.3,222899,61.0,68,61
A Quiet Place Part II,2020,"Drama, Horror, Sci-Fi",97.0,297372261,7.2,234141,71.0,91,71
The Divergent Series: Insurgent,2015,"Action, Adventure, Sci-Fi",119.0,297002527,6.2,241434,42.0,28,42
Look Who's Talking,1989,Comedy,93.0,296999813,5.9,83855,51.0,55,51
Austin Powers in Goldmember,2002,"Action, Adventure, Comedy",94.0,296938801,6.2,213268,62.0,53,62
Ghostbusters,1984,"Action, Comedy, Fantasy",105.0,296578797,7.8,420236,71.0,95,71
Miss Peregrine's Home for Peculiar Children,2016,"Adventure, Drama, Family",127.0,296482446,6.7,177016,57.0,64,57
X-Men,2000,"Action, Adventure, Sci-Fi",104.0,296339528,7.3,620618,64.0,82,64
Ferdinand,2017,"Animation, Adventure, Comedy",108.0,296069199,6.7,58792,58.0,71,58
Shutter Island,2010,"Mystery, Thriller",138.0,294805697,8.2,1323223,63.0,68,63
Doctor Dolittle,1998,"Comedy, Family, Fantasy",85.0,294456605,5.4,98335,46.0,41,46
Bee Movie,2007,"Animation, Adventure, Comedy",91.0,293514336,6.1,165683,54.0,49,54
Salt,2010,"Action, Thriller",100.0,293503354,6.4,318259,65.0,62,65
G-Force,2009,"Animation, Action, Adventure",88.0,292817898,5.1,47579,41.0,22,41
The Departed,2006,"Crime, Drama, Thriller",151.0,291480452,8.5,1330783,85.0,90,85
What Lies Beneath,2000,"Drama, Horror, Mystery",130.0,291420351,6.6,128347,51.0,47,51
Pacific Rim: Uprising,2018,"Action, Adventure, Fantasy",111.0,290930148,5.6,119427,44.0,42,44
The Bourne Supremacy,2004,"Action, Mystery, Thriller",108.0,290835269,7.7,467307,73.0,82,73
Sex and the City 2,2010,"Comedy, Drama, Romance",146.0,290745055,4.5,80967,27.0,15,27
Shakespeare in Love,1998,"Comedy, Drama, History",123.0,289317794,7.1,227146,87.0,92,87
Divergent,2014,"Action, Adventure, Mystery",139.0,288885818,6.6,465345,48.0,41,48
Coming to America,1988,"Comedy, Romance",117.0,288752301,7.1,211814,47.0,73,47
Wedding Crashers,2005,"Comedy, Romance",119.0,288485135,7.0,360739,64.0,75,64
Maze Runner: The Death Cure,2018,"Action, Adventure, Sci-Fi",143.0,288175335,6.2,144525,50.0,43,50
Casper,1995,"Comedy, Family, Fantasy",100.0,287928194,6.1,137643,49.0,51,49
American Pie 2,2001,Comedy,108.0,287553595,6.4,258987,43.0,52,43
Elvis,2022,"Biography, Drama, Music",159.0,287340048,7.4,161693,64.0,77,64
Pitch Perfect 2,2015,"Comedy, Music",115.0,287144079,6.4,160015,63.0,65,63
The Green Mile,1999,"Crime, Drama, Fantasy",189.0,286801374,8.6,1310053,61.0,79,61
Oblivion,2013,"Action, Adventure, Sci-Fi",124.0,286168572,7.0,531212,54.0,54,54
Elysium,2013,"Action, Drama, Sci-Fi",109.0,286140700,6.6,452602,61.0,64,61
Lethal Weapon 4,1998,"Action, Crime, Thriller",127.0,285444603,6.6,165424,37.0,52,37
John Carter,2012,"Action, Adventure, Sci-Fi",132.0,284139100,6.6,275919,51.0,52,51
Turbo,2013,"Animation, Adventure, Comedy",96.0,282570682,6.4,100091,58.0,67,58
Paddington,2014,"Adventure, Comedy, Family",95.0,282377683,7.3,120332,77.0,97,77
Bridget Jones's Diary,2001,"Comedy, Drama, Romance",97.0,281995610,6.8,247921,66.0,80,66
The Tourist,2010,"Action, Thriller",103.0,278780441,6.0,245585,37.0,21,37
Split,2016,"Horror, Thriller",117.0,278454417,7.3,504234,62.0,78,62
Scary Movie,2000,Comedy,88.0,278019771,6.2,266002,48.0,51,48
xXx,2002,"Action, Adventure, Thriller",124.0,277448382,5.8,181584,48.0,48,48
The Bourne Legacy,2012,"Action, Adventure, Thriller",135.0,276144750,6.6,304854,61.0,55,61
Mr. Peabody & Sherman,2014,"Animation, Adventure, Comedy",92.0,275698039,6.8,72218,59.0,81,59
Scooby-Doo,2002,"Adventure, Comedy, Family",86.0,275678613,5.2,116388,35.0,32,35
Lincoln,2012,"Biography, Drama, History",150.0,275293450,7.3,262815,86.0,89,86
Lara Croft: Tomb Raider,2001,"Action, Adventure, Fantasy",100.0,274703340,5.7,211693,33.0,20,33
Tomb Raider,2018,"Action, Adventure, Fantasy",119.0,274650803,6.3,216951,48.0,53,48
The Expendables,2010,"Action, Adventure, Thriller",103.0,274470394,6.4,349242,45.0,42,45
Cloudy with a Chance of Meatballs 2,2013,"Animation, Adventure, Comedy",95.0,274325949,6.3,105828,59.0,71,59
The Nutty Professor,1996,"Comedy, Romance, Sci-Fi",95.0,273961019,5.7,118534,62.0,64,62
Jerry Maguire,1996,"Comedy, Drama, Romance",139.0,273552592,7.3,270296,77.0,84,77
Bad Boys II,2003,"Action, Comedy, Crime",147.0,273339556,6.6,254624,38.0,23,38
Lilo & Stitch,2002,"Animation, Adventure, Comedy",85.0,273144151,7.3,194763,73.0,87,73
The Silence of the Lambs,1991,"Crime, Drama, Thriller",118.0,272742922,8.6,1441109,85.0,95,85
Grown Ups,2010,Comedy,102.0,271457301,5.9,256138,30.0,11,30
Neighbors,2014,Comedy,97.0,270665134,6.3,315065,68.0,73,68
The Firm,1993,"Drama, Mystery, Thriller",154.0,270248367,6.8,138032,58.0,76,58
We're the Millers,2013,"Comedy, Crime",110.0,269994119,7.0,455828,44.0,49,44
Gran Torino,2008,Drama,116.0,269958228,8.1,780886,72.0,81,72
"10,000 BC",2008,"Action, Adventure, Drama",109.0,269784201,5.1,132445,34.0,9,34
American Gangster,2007,"Biography, Crime, Drama",157.0,269755430,7.8,430828,76.0,81,76
Epic,2013,"Animation, Action, Adventure",102.0,268426634,6.6,106499,52.0,64,52
Exodus: Gods and Kings,2014,"Action, Adventure, Drama",150.0,268175631,6.0,170744,52.0,30,52
Blade Runner 2049,2017,"Action, Drama, Mystery",164.0,267770708,8.0,582904,81.0,88,81
Bambi,1942,"Animation, Adventure, Drama",69.0,267447150,7.3,145599,91.0,91,91
The Princess and the Frog,2009,"Animation, Adventure, Comedy",97.0,267045765,7.1,149274,73.0,85,73
Batman Returns,1992,"Action, Crime, Fantasy",126.0,266915287,7.1,309492,68.0,81,68
Indecent Proposal,1993,"Drama, Romance",117.0,266614059,6.0,73112,35.0,34,35
Something's Gotta Give,2003,"Comedy, Drama, Romance",128.0,265328738,6.7,123610,66.0,72,66
Bridget Jones: The Edge of Reason,2004,"Comedy, Drama, Romance",108.0,265126918,6.0,115992,44.0,27,44
The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",112.0,264770996,6.6,497277,61.0,67,61
Waterworld,1995,"Action, Adventure, Sci-Fi",177.0,264218220,6.2,199242,56.0,45,56
The Truman Show,1998,"Comedy, Drama",103.0,264118201,8.2,1091304,90.0,95,90
Charlie's Angels,2000,"Action, Adventure, Comedy",98.0,264105545,5.6,189182,52.0,68,52
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126.0,263920180,7.6,478922,52.0,71,52
Jumanji,1995,"Adventure, Comedy, Family",104.0,262821940,7.0,351723,39.0,52,39
Parasite,2019,"Drama, Thriller",132.0,262676096,8.5,813970,96.0,99,96
Borat,2006,Comedy,84.0,262552893,7.3,414611,89.0,90,89
Robots,2005,"Animation, Adventure, Comedy",91.0,262511490,6.4,150881,64.0,64,64
Knight and Day,2010,"Action, Adventure, Comedy",109.0,261989769,6.3,198944,46.0,52,46
Total Recall,1990,"Action, Adventure, Sci-Fi",113.0,261317921,7.5,334928,60.0,83,60
This Is It,2009,"Documentary, Drama, Music",111.0,261183588,7.2,40848,67.0,81,67
Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",128.0,261119292,6.2,180866,54.0,70,54
The Lone Ranger,2013,"Action, Adventure, Western",150.0,260502115,6.4,236832,37.0,31,37
Super 8,2011,"Action, Mystery, Sci-Fi",112.0,260095986,7.0,356676,72.0,81,72
Halloween,1978,"Horror, Thriller",91.0,259939835,7.7,284460,87.0,96,87
Mojin: The Lost Legend,2015,"Action, Adventure, Drama",127.0,259368448,5.9,4044,48.0,56,48
Charlie's Angels: Full Throttle,2003,"Action, Adventure, Comedy",106.0,259175788,4.9,129305,48.0,41,48
Rush Hour 3,2007,"Action, Comedy, Crime",91.0,258097122,6.2,171791,44.0,17,44
The Full Monty,1997,"Comedy, Drama",91.0,257938649,7.2,108101,75.0,96,75
Kung Fu Yoga,2017,"Action, Adventure, Comedy",107.0,257753889,5.1,10589,50.0,48,50
Annabelle,2014,"Horror, Mystery, Thriller",99.0,257589721,5.4,162531,37.0,28,37
Encanto,2021,"Animation, Comedy, Family",102.0,256786742,7.2,227336,75.0,28,75
The Village,2004,"Drama, Mystery, Thriller",108.0,256697520,6.6,264867,44.0,43,44
Lost in Hong Kong,2015,"Action, Adventure, Comedy",114.0,256283912,5.4,1737,,60,44
Erin Brockovich,2000,"Biography, Drama",131.0,256271286,7.4,201852,73.0,85,73
Us,2019,"Horror, Mystery, Thriller",116.0,256067149,6.8,305619,81.0,93,81
Pegasus,2019,"Comedy, Sport",98.0,255863112,6.3,1953,,93,81
Get Out,2017,"Horror, Mystery, Thriller",104.0,255745157,7.7,621681,85.0,98,85
Marley & Me,2008,"Drama, Family",115.0,255743093,7.0,160662,53.0,63,53
Cliffhanger,1993,"Action, Adventure, Thriller",113.0,255000211,6.5,131949,60.0,67,60
Baahubali 2: The Conclusion,2017,"Action, Drama",167.0,254158390,8.2,103416,,87,60
Babe,1995,"Comedy, Drama, Family",91.0,254134910,6.9,127429,83.0,97,83
Men in Black: International,2019,"Action, Adventure, Comedy",114.0,253890701,5.6,136940,38.0,23,38
Wild Hogs,2007,"Action, Adventure, Comedy",100.0,253625427,5.8,120097,27.0,14,27
High School Musical 3: Senior Year,2008,"Comedy, Drama, Family",112.0,252909177,4.9,63961,57.0,64,57
Hercules,1997,"Animation, Adventure, Comedy",93.0,252712101,7.3,235791,74.0,82,74
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",113.0,252442974,5.7,189973,43.0,22,43
True Grit,2010,"Drama, Western",110.0,252276927,7.6,342425,80.0,95,80
